row_label,col_1,col_2,col_3
Received-Closed-Pending,1,Size of Units,17
Distribution of Intake :,5,Types of Elections Union-Shop Deauthorization,11
by Industry Geographic,"6 A, B",Polls-Results of Valid Votes Cast,12 14
Court Litigation,,,
Appellate Decisions,19A,Unfair Labor Practice Cases,
Enforcement and Review,19,Received-Closed-Pending,"1,1A"
Injunction Litigation,20,"Allegations, Types of",2
Miscellaneous Litigation,21,Disposition :,
,,by Method,7
Representation and Union,,by Stage,8
Deauthorization Cases,,Jurisdictional Dispute Cases,
General,,(Before Complaint),7A
Received-Closed-Pending,"1,1B",Formal Actions Taken_,3A
Disposition :,,Remedial Actions Taken Size of Establishment (Number,4
by Method,10,of Employees),18
by Stage,9,,
Formal Actions Taken,3B,,and
,,Amendment of Certification,
Elections,,Unit Clarification Cases,
Final Outcome,13,Received-Closed-Pending,1
Geographic Distribution 15,"A, B",Disposition by Method,10A
Industrial Distribution,16,Formal Actions Taken,30
Objections/Challenges :,,,
Elections Conducted,11A.,Advisory Opinions,
Disposition,11D,,
Party Filing,110,Received-Closed-Pending,22
Rerun Results,11E,Disposition by Method,22A
