row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Animal Production....................................,6,1,0,1,0,5,399,366,130,8,122,0,236,15
Forestry and Logging................................,1,0,0,0,0,1,18,18,2,2,0,0,16,0
Support Activities for Agriculture and Forestry....................................................,1,1,0,1,0,0,22,21,15,0,15,0,6,22
"Agriculture, Forestry, Fishing, and Hunting................................................",8,2,0,2,0,6,439,405,147,10,137,0,258,37
Oil and Gas Extraction..............................,8,4,1,3,0,4,142,144,68,29,39,0,76,53
Mining (except Oil and Gas)....................,13,5,2,3,0,8,1496,1382,451,398,53,0,931,243
Support Activities for Mining...................,4,3,1,1,1,1,315,254,193,108,74,11,61,302
"Mining, Quarrying, and Oil and Gas Extraction..................................................",25,12,4,7,1,13,1953,1780,712,535,166,11,1068,598
Utilities.................................................,47,27,25,2,0,20,2116,2004,1091,975,116,0,913,1527
Construction of Buildings.........................,17,11,4,5,2,6,894,624,474,346,82,46,150,695
Heavy and Civil Engineering Construction..............................................,18,8,3,5,0,10,437,299,104,59,45,0,195,208
Specialty Trade Contractors......................,122,75,48,25,2,47,8495,3397,2370,872,1475,23,1027,7393
Construction........................................,157,94,55,35,4,63,9826,4320,2948,1277,1602,69,1372,8296
Food Manufacturing..................................,38,14,3,10,1,24,4000,3569,1611,243,1174,194,1958,1539
Beverage and Tobacco Product Manufacturing...........................................,16,9,2,6,1,7,715,674,375,33,304,38,299,434
Textile Mills..............................................,1,0,0,0,0,1,13,12,5,0,5,0,7,0
Textile Product Mills................................,2,1,0,1,0,1,318,286,170,0,170,0,116,304
Apparel Manufacturing............................,7,4,0,4,0,3,960,871,425,0,425,0,446,361
Leather and Allied Product Manufacturing...........................................,2,1,1,0,0,1,325,294,116,116,0,0,178,124
31-Manufacturing................................,66,29,6,21,2,37,6331,5706,2702,392,2078,232,3004,2762
Wood Product Manufacturing..................,5,2,2,0,0,3,197,179,88,68,20,0,91,136
Paper Manufacturing................................,10,5,2,3,0,5,568,528,296,178,118,0,232,186
Printing and Related Support,10,5,2,,,,325,,111,49,,,158,
Activities....,,,,3,0,5,,269,,,62,0,,118
