Action taken,Total all,Remedial action taken by Employer / Total,Remedial action taken by Employer / Pursuant to Agreement of parties / Informal settlement,Remedial action taken by Employer / Pursuant to Agreement of parties / Formal settlement,Remedial action taken by Employer / Pursuant to Recommendation of trial examiner / Recommendation of trial examiner,Remedial action taken by Employer / Pursuant to Order of Board / Order of Board,Remedial action taken by Employer / Pursuant to Order of Court / Order of Court,Remedial action taken by Union / Total,Remedial action taken by Union / Pursuant to Agreement of parties / Informal settlement,Remedial action taken by Union / Pursuant to Agreement of parties / Formal settlement,Remedial action taken by Union / Pursuant to Recommendation of trial examiner / Recommendation of trial examiner,Remedial action taken by Union / Pursuant to Order of Board / Order of Board,Remedial action taken by Union / Pursuant to Order of Court / Order of Court
A. By number of cases involved — section header,5102,,,,,,,,,,,,
Notice posted (Section A),2766,2086,1380,108,104,259,235,680,395,74,16,98,97
Section A action-type,,,,,,,,,,,,,
