row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
,,,,,unions,,chosen,,,,,,,,,lion
Maine,15,7,7,0,0,,8,7841,3774,3195,3068,59,0,68,579,7186
New Hampshire,7,3,3,0,0,0,4,692,642,230,125,105,0,0,412,28
Vermont,3,1,0,0,,0,2,219,204,120,16,0,91,13,84,138
Massachusetts,60,29,17,10,,,31,2839,2.524,1223,820,254,30,119,1301,1539
Rhode Island,6,2,2,0,0,0,4,143,136,43,43,0,0,0,93,30
Connecticut,41,20,13,5,2,,21,1689,1505,736,455,221,60,0,769,609
• New England,132,62,42,15,4,1,70,13.423,8785,5547,4527,639,181,200,3238,9530
New York,290,140,86,38,5,11,150,15042,12508,6195,4129,1132,161,773,6.313,6606
New Jersey,147,68,36,17,• 1,14,79,7174,6035,3037,1602,562,90,783,2998,2760
Pennsylvania,280,116,69,51,9,7,164,15477,13801,5890,4.135,1173,179,403,7911,4700
Middle Atlantic,717,324,191,86,15,32,393,37693,32344,15122,9866,2867,430,1959,17222,14066
Ohio,239,107,72,31,2,2,132,12363,10996,4988,3737,1053,58,140,6008,4606
Indiana,141,59,34,19,5,1,82,9363,8962,3811,2927,608,206,70,5151,1910
Illinois,230,107,66,28,6,7,123,10666,9.507,4538,2755,1028,343,412,4969,4458
Michigan,257,109,58,37,6,8,148,15.537,13802,6530,4517,1267,250,496,7.272,5294
Wisconsin,125,as,34,12,0,2,77,9013,7966,3553,2715,822,3,13,4413,2228
East North Central,992,430,264,127,19,20,562,56942,51233,23420,16651,4778,860,1.131,27813,18496
Iowa,55,26,11,14,0,,29,3735,3219,1576,833,715,0,28,1643,1343
Minnesota,114,55,41,12,,,59,4623,3896,2116,1489,576,22,29,1780,2803
Missoun,114,as,26,17,2,,69,4144,3651,1645,1105,518,14,8,2006,1401
North Dakota,14,5,3,2,0,0,9,616,477,193,147,46,0,0,284,72
South Dakota,15,9,5,2,0,2,6,560,498,213,132,66,0,15,285,101
Nebraska,18,9,7,1,,1,9,511,382,192,139,as,0,8,190,"265 2,272"
Kansas,31,9,7,,0,0,22,4014,3637,1735,1658,"77 2,043",0,0,1902,
West North Central,361,158,100,50,3,5,203,18203,15760,7670,5503,,36,88,8090,8257
