row_label,Number of unfair labor practice cases / Total,Number of unfair labor practice cases / Identification of complainant / AFL-CIO affiliates,Number of unfair labor practice cases / Identification of complainant / Unaffiliated unions,Number of unfair labor practice cases / Identification of complainant / Individuals,Number of unfair labor practice cases / Identification of complainant / Employers,Number of representation cases / Total,Number of representation cases / Identification of petitioner / AFL-CIO affiliates,Number of representation cases / Identification of petitioner / Unaffiliated unions,Number of representation cases / Identification of petitioner / Individuals,Number of representation cases / Identification of petitioner / Employers
CA cases,,,,,,,,,,
"Pending July 1, 1960",3127,1340,300,1355,132,1920,1173,747,,
Received fiscal 1961,8135,3184,1382,3355,214,9177,5610,3553,,
On docket fiscal 1961,11262,4524,1682,4710,346,11097,6783,4300,,
Closed fiscal 1961,8046,3123,1267,3406,250,9022,5473,3534,,
"Pending June 30, 1961",3216,1401,415,1304,96,2076,1309,766,,
CB cases,,,,,,,,,,
"Pending July 1, 1960",1108,22,24,797,265,117,,,,117
Received fiscal 1961,2830,89,41,2028,671,738,,,,738
On docket fiscal 1961,3938,111,65,2825,936,855,,,,855
Closed fiscal 1961,2866,78,41,1990,757,661,,,,661
"Pending June 30, 1961",1072,33,24,835,179,194,,,,194
CC cases,,,,,,,,,,
"Pending July 1, 1960",388,7,6,8,367,104,,,104,
Received fiscal 1961,915,8,18,31,744,593,,,593,
On docket fiscal 1961,1303,16,24,39,1111,697,,,697,
Closed fiscal 1961,967,7,11,36,813,540,,,540,
"Pending June 30, 1961",397,7,12,31,308,137,,,137,
