row_label,col_1
2-C-6123 15-0-1102,"H & F Binch, Inc. Howard Transfer Co."
14-0-902,Illinois Commercial Telephone Co.
9-C-2113,"Jones, R. A., Co., The/"
21-C-2497,Marches of Hollywood.
18-C-1137,Marshall Fruit Co.
18-C-1121,Marshall Produce Co.
10-0-1890,Mascot Stove Co.
18-0-1180,Mineral Springs Coca-Cola Co.
,Bottling
18-C-1138,"Minnesota Bi-Products, Inc."
21-C-2604,Mode O'Day Corp.
2-C-5294 15-C-1094,National Container Corp. New Orleans Coal & Bisso Tow Boat Co.
10-C-1832,"Norris, Inc."
10-C-1648,"Norris, Inc."
7-0-1387,Nutt Motor Rebuilders.
7-0-1465,Nutt Motor Rebuilders.
2-0-6005,Petroleum Heat & Power
2-0-5871,"Co. Petzold, Ltd., Fur Dyeing Corp."
1-0-2501,Ratheon Mfg. Co.
5-0-1897,"Red Star Coaches, Inc."
2-0-5322 10-C-1702,Republic Aviation Corp. Rome Plow Co.
,Sobel Cap Mfg.
21-0-2432,Co.
15-0-1025 18-0-1139,"Southern Naval Stores Co. Supersweet Feed Co., Inc."
,Notch Mfg. Co.
16-0-1239 16-C-1306,Top Trave-Taylor Co.
5-0-1832,"Washington, Marlboro & Lines,"
20-C-1383,Annapolis Motor Western Frozen Foods Co.
,II. Representation Cases
,A. B. C. Welding & Mfg. Co. (Anbaco Corp.).
3-R-1185,A & C Bedding Co.
13-R-3506,
2-R-6158,"Abbott Laboratories, Inc."
5-R-1756,"Abell, A. S., Co., The."
13-R-2997,"Acme Leather Co., Aaron & Maury Falstein & Max"
5-R-1877 Adams-Millis,Corp. Adler Metal- Products Corp.
14-R-1350,
3-R-1046 5-R-2144,"Air Cooler Motor Corp. Air Terminal Services,"
,"Inc. Airway Electric Appliance Co.,"
8-R-1902,The.
13-R-3100,"Ajax Box Co., The."
10-R-750,Alabama Fuel & Iron Co.
11-R-816,"Aladdin Industries, Inc."
9-R-1952,Albers Super Market.
14-R-1350,Alder Metal products Corp.
10-R-1585 2-R-5634,Aldora Mills
6-R-1180,Allegheny Ludlum Steel Corp. Allegheny Ludlum Steel Corp.
8-R-2062,"Alliance Ware, Inc."
2-R-5814,Allied Chemical & Dye
4-R-1856,"Corp. Allied Chemical & Dye Corp, Barrett Division,"
,Mfg. Co.
1-R-2691,Allis-Chalmers
