row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Nevada,21,7,1,2,0,4,14,887,690,330,28,0,133,0,169,360,482
Mountain — Division subtotal,186,81,55,14,0,10,105,8741,7365,3381,2254,497,141,489,4384,3238,
Washington,147,56,25,24,0,7,91,4593,3466,1625,897,616,2,110,1841,1699,
California,548,229,125,85,5,14,319,22923,19583,9919,6428,2520,374,597,9664,10232,
Pacific — Division subtotal,832,338,178,123,10,27,494,39558,30088,13165,9407,3997,592,876,15536,13667,
Outlying Areas — subtotal (Puerto Rico + Virgin Islands),53,30,2,8,0,20,23,4349,3994,1729,476,345,0,877,2232,1632,
"Total, all States and areas (GRAND TOTAL)",4520,1951,1204,524,61,162,2569,259278,229573,106461,76291,17373,3977,8814,123112,91999,
