row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
12-CD-15,12-CD-15,"Plumbers, Local 725 (Foremost Daries)","Mar. 31, 1960",,,,,,,
4-CP-1,4-CP-1,"Wholesale & Department Store Union, Dist 56 (Morgyn Shoe Co.)","Apr. 6, 1960",,"Apr. 7, 1960","Apr. 11, 1960","Apr. 14, 1960",,,"May 25, 1960"
21-CE-1,21-CE-1,"*Teamsters, Local 294 (Van Transport Lines, Inc.)","Apr. 12, 1960",,"Apr. 8, 1960","Apr. 22, 1960","May 17, 1960",,,"June 2, 1960"
Remaining ~22 cases on this page,,,,,,,,,,
