row_label,Cases — Number,Cases — Percent of cases closed,Cases — Percent of cases on docket,Workers involved
"Cases pending, July 1, 1940",747,,,401016
"Cases received, July 1940-June 1941",4334,,,1188088
"Cases on docket, July 1940-June 1941",5081,,,1589104
"Cases closed, July 1940-June 1941",3698,100.0,72.8,1055243
Cases closed before formal action,2874,77.7,56.6,609064
Cases closed before formal action: Cases settled,1984,53.7,39.0,349078
Cases closed before formal action: Cases settled: By recognition of representatives,327,8.8,6.4,32305
Cases closed before formal action: Cases settled: By consent election,1329,35.9,26.2,270046
Cases closed before formal action: Cases settled: By pay-roll check,328,8.9,6.4,46327
Cases closed before formal action: Cases dismissed,324,8.8,6.4,123914
Cases closed before formal action: Cases withdrawn,545,14.7,10.7,125784
Cases closed before formal action: Cases closed otherwise,21,.6,.4,10288
Cases closed after formal action,824,22.3,16.2,446179
Cases closed after formal action: Cases closed before hearing,82,2.2,1.6,12829
Cases closed after formal action: Cases closed after hearing,27,.7,.5,5553
Cases closed after formal action: Cases closed after Board decision,715,19.3,14.1,427797
Cases closed after formal action: Cases closed after Board decision: Cases closed by certification,518,14.0,10.2,383576
Cases closed after formal action: Cases closed after Board decision: Cases closed by certification: After stipulated election,69,1.9,1.4,24411
Cases closed after formal action: Cases closed after Board decision: Cases closed by certification: After ordered election,432,11.7,8.5,357727
Cases closed after formal action: Cases closed after Board decision: Cases closed by certification: Other cases,17,.5,.3,1438
Cases closed after formal action: Cases closed after Board decision: Cases dismissed,180,4.9,3.5,42227
Cases closed after formal action: Cases closed otherwise after Board decision,14,.4,.3,1912
"Cases pending July 1, 1941",1383,,27.2,533861
