row_label,Total,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,"July 1-Aug. 21, 1947"
Notice posted,8156,,903,1001,1187,1365,1110,738,576,638,658,91
Company union disestablished,1709,,245,221,502,263,205,101,54,51,36,11
Workers placed on preferential hiring list,727,,,165,1059,326,96,70,39,52,64,7
Collective bargaining begun,5070,,923,881,1032,493,138,116,175,273,26,
Workers reinstated to remedy discriminatory discharge,76268,6830,7738,10514,23475,8251,7111,2972,1919,3184,4114,360
Workers receiving back pay,40691,,3063,5181,5225,5113,2335,3734,1973,2772,2656,265
Back-pay awards,12418000,,559000,2229000,925000,1266000,2335000,1816000,997000,899000,1105000,105000
Strikers reinstated,226488,88191,51890,27000,24427,32137,1250,,,,964,31
