Subsection,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYEES UNDER SEC. 8(a) — Subsections of Sec. 8(a): Total cases,12002,100.0
8(a)(1),947,7.9
8(a)(2),236,2.0
8(a)(3),6410,53.5
8(a)(4),36,0.3
8(a)(5),2572,21.4
Multi-subsection combination,,
RECAPULATION (8(a)) — Total cases,12022,100.0
8(a)(1),622,5.2
8(a)(3),8122,67.6
8(a)(4),303,2.5
8(a)(5),3967,33.0
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b) — Subsections of Sec. 8(b): Total cases,6577,100.0
8(b)(1),1900,28.9
8(b)(2),144,3.2
8(b)(3),310,4.7
8(b)(4),2115,32.2
8(b)(5),2,0.0
8(b)(6),15,0.2
8(b)(7),489,7.5
Multi-subsection combination,,
RECAPULATION (8(b)) — Total cases,,
8(b)(1),3488,53.0
8(b)(2),1690,24.2
8(b)(3),512,7.8
8(b)(4),2115,32.2
8(b)(5),26,0.4
8(b)(6),22,0.3
8(b)(7),489,7.5
B1 ANALYSIS OF 8(b)(4) — Total cases 8(b)(4),2115,100
8(b)(4)(A),57,2.7
8(b)(4)(B),1370,64.8
8(b)(4)(C),20,0.9
8(b)(4)(D),579,27.4
Multi-combination B1,,
"RECAPULATION (B1) — 8(b)(4)(A) 137 / 8(b)(4)(B) 1,458 / 8(b)(4)(C) 33 / 8(b)(4)(D) 579",,
B2 ANALYSIS OF 8(b)(7) — Total cases 8(b)(7),489,100.0
8(b)(7)(A),136,27.8
8(b)(7)(B),62,12.7
8(b)(7)(C),273,55.8
Multi-combination B2,,
RECAPULATION (B2) — 8(b)(7)(A) 154 / 8(b)(7)(B) 71 / 8(b)(7)(C) 283,,
C. CHARGES FILED UNDER SEC. 8(e) — Total cases 8(e),52,100.0
Against unions alone,35,67.3
Against employers alone,,
Against union and employers,17,32.7
