row_label,Circuit courts of Appeals (headquarters),Total fiscal year 1973,Total cumulative fiscal years 1968-1972,Affirmed in full / Fiscal Year 1973 / Number,Affirmed in full / Fiscal Year 1973 / Percent,Affirmed in full / Cumulative fiscal years 1968-1972 / Number,Affirmed in full / Cumulative fiscal years 1968-1972 / Percent,Modified / Fiscal Year 1973 / Number,Modified / Fiscal Year 1973 / Percent,Modified / Cumulative fiscal years 1968-1972 / Number,Modified / Cumulative fiscal years 1968-1972 / Percent,Remanded in full / Fiscal Year 1973 / Number,Remanded in full / Fiscal Year 1973 / Percent,Remanded in full / Cumulative fiscal years 1968-1972 / Number,Remanded in full / Cumulative fiscal years 1968-1972 / Percent,Affirmed in part and remanded in part / Fiscal Year 1973 / Number,Affirmed in part and remanded in part / Fiscal Year 1973 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1968-1972 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1968-1972 / Percent,Set aside / Fiscal Year 1973 / Number,Set aside / Fiscal Year 1973 / Percent,Set aside / Cumulative fiscal years 1968-1972 / Number,Set aside / Cumulative fiscal years 1968-1972 / Percent
Total all circuits,350,1698,252,72.0,1118,65.8,37,10.5,272,16.0,17,4.9,76,4.5,9,2.6,35,2.1,35,10.0,197,11.6,
"1. Boston, Mass.",10,63,9,90.0,48,76.2,0,0.0,5,7.9,0,0.0,2,3.2,0,0.0,0,0.0,1,10.0,8,12.7,
"2. New York, N.Y.",34,133,21,62.4,97,72.9,3,8.8,20,15.0,0,0.0,3,2.3,0,0.0,0,0.0,10,29.4,13,9.8,
"3. Philadelphia, Pa.",75,176,16,94.1,122,70.0,2,10.5,17,9.7,0,0.0,6,3.4,1,5.3,5,2.8,0,0.0,20,11.4,
"4. Richmond, Va.",15,143,13,86.7,92,64.3,1,6.7,20,14.0,0,0.0,9,6.3,1,6.7,5,3.5,0,0.0,17,11.9,
"5. New Orleans, La.",44,230,30,67.6,158,68.7,5,11.4,34,14.8,5,11.4,12,5.2,0,0.0,5,2.2,4,9.1,21,9.1,
"6. Cincinnati, Ohio",55,290,39,67.2,178,61.4,7,12.7,53,18.3,1,1.8,11,3.8,2,3.6,10,3.4,5,9.1,38,13.1,
"7. Chicago, Ill.",41,132,29,70.7,98,74.2,4,9.8,16,12.1,5,12.2,5,3.8,1,2.4,5,3.8,2,4.9,8,6.1,
"8. St. Louis, Mo.",36,125,30,83.3,94,75.2,5,13.9,13,10.4,0,0.0,5,4.0,0,0.0,1,0.8,1,2.8,12,9.6,
"9. San Francisco, Calif.",50,205,35,70.0,153,74.6,6,12.0,33,16.1,5,10.0,14,6.8,1,2.0,2,1.0,3,6.0,29,14.1,
"10. Denver, Colo.",8,83,6,75.0,65,78.3,2,25.0,8,9.6,0,0.0,4,4.8,0,0.0,1,1.2,0,0.0,5,6.0,
"11. Washington, D.C.",27,118,15,55.6,81,68.6,2,7.4,14,11.9,1,3.7,5,4.2,3,11.1,6,5.1,6,22.2,12,10.2,
