Stage of disposition,All R Number,All R Percent,RC Number,RC Percent,RM Number,RM Percent,RD Number,RD Percent,UD Number,UD Percent
Total number of cases closed,12724,100.0,10950,100.0,1162,100.0,612,100.0,132,100.0
Before issuance of notice of hearing,6498,51.1,5325,48.6,791,68.1,382,62.4,72,54.5
"After issuance of notice of hearing, before close of hearing",3803,29.9,3452,31.6,213,18.3,128,20.9,3,2.3
"After hearing closed, before issuance of decision",102,0.8,92,0.8,6,0.5,4,0.7,0,0
After issuance of regional director's decision,2109,16.6,1890,17.3,124,10.7,95,15.5,55,41.7
After issuance of Board decision,212,1.6,181,1.7,28,2.4,3,0.5,0,0
