Participating unions,Number of elections,Elections won by — A. F. of L. — Number,Elections won by — A. F. of L. — Percent,Elections won by — C. I. O. — Number,Elections won by — C. I. O. — Percent,Elections won by — Unaffiliated — Number,Elections won by — Unaffiliated — Percent,Elections won by — No union — Number,Elections won by — No union — Percent,Eligible voters — Total,Eligible voters — Percent of valid votes,Valid votes cast for — Total,Valid votes cast for — A. F. of L. — Number,Valid votes cast for — A. F. of L. — Percent,Valid votes cast for — C. I. O. — Number,Valid votes cast for — C. I. O. — Percent,Valid votes cast for — Unaffiliated — Number,Valid votes cast for — Unaffiliated — Percent,Valid votes cast for — No union — Number,Valid votes cast for — No union — Percent
Total,133,27,20.3,22,16.5,2,1.5,82,61.6,18773,91.0,17078,1978,11.5,7110,41.6,728,4.3,7262,
A. F. L. affiliates (alone on ballot),34,22,65.7,,,,,12,35.3,,,3943,1978,50.2,,,,,1065,27.0
C. I. O. affiliates (alone on ballot),61,,,21,34.4,,,40,65.6,,,8565,,,4532,52.9,,,4033,47.1
Unaffiliated unions (alone on ballot),33,,,,,1,3.0,30,90.9,5454,,3114,,,,,2578,82.8,424,13.6
A. F. L. affiliates–C. I. O. affiliates–unaffiliated (3-party),1,1,100.0,0,0,0,0,0,0,,,,,,,,,,,
