Type of Litigation,Total — all courts — Number decided,Total — all courts — Upholding Board position,Total — all courts — Contrary to Board position,In courts of appeals — Number decided,In courts of appeals — Upholding Board position,In courts of appeals — Contrary to Board position,In district courts — Number decided,In district courts — Upholding Board position,In district courts — Contrary to Board position,In bankruptcy courts — Number decided,In bankruptcy courts — Upholding Board position,In bankruptcy courts — Contrary to Board position,In state courts — Number decided,In state courts — Upholding Board position,In state courts — Contrary to Board position
Totals — all types,14,13,1,7,6,1,7,7,0,0,0,0,0,0,0
NLRB-initiated actions or interventions,5,4,1,3,2,1,2,2,0,0,0,0,0,0,0
To stay district court § 301 action,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
To enjoin local action as preempted,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
To enforce NLRB subpoena,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
Action by other parties,9,9,0,4,4,0,5,5,0,0,0,0,0,0,0
To review: Prosecutorial discretion,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0
Nonfinal/representation orders,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
To compel NLRB to: Comply with FOIA,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0
