row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October I, 1985","• 1,960",1184,509,77,186,,
Received fiscal 1986,5131,3013,1472,177,458,II,
On docket fiscal 1986,7091,4197,1981,254,644,15,
Closed fiscal 1986,5262,3043,1562,188,461,8,
"Pending September 30, 1986",1829,1154,419,66,183,7,
,RM Lases,RM Lases,RM Lases,RM Lases,RM Lases,RM Lases,RM Lases
"Pending October 1, 1985",*213,,,,,,213
Received fiscal 1986,525,,,,,,525
On docket fiscal 1986,738,,,,,,738
Closed fiscal 1986,593,___,__,__,_____,_,593
"Pending September 30, 1986",145,,,,,,145
,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases
"Pending October 1, 1985",.467,3,0,0,8,456,
Received fiscal 1986,1640,14,10,3,9,1604,
On docket fiscal 1986,2107,17,10,3,17,2060,
Closed fiscal 1986,1677,11,8,2,12,1644,
"Pending September 30, 1986",430,6,2,I,5,416,
