Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
New England,678,486,336,113,20,7,0,2,8,188,169,7,8,2,,4
Middle Atlantic,2471,1735,1300,329,55,16,4,4,27,699,606,33,60,22,2,13
East North Central,3160,2348,1501,555,166,24,1,6,25,707,674,49,61,31,6,15
West North Central,802,574,416,103,38,13,0,2,2,215,215,19,39,3,2,4
South Atlantic,,,,,,,,,,,,,,,,
