Industrial Group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
48-Transportation (NAICS 48 subtotal — Rail/Water/Truck/Transit/Pipeline/Scenic/Support),2034,1637,1166,455,11,0,3,0,2,0,364,322,5,47,8,1
49-Transportation and Warehousing (NAICS 49 subtotal — Postal/Couriers/Warehousing),3662,3570,2561,1006,3,0,0,0,0,0,88,65,0,23,0,1
51-Information (NAICS 51 subtotal),1026,925,677,232,12,0,1,0,3,0,89,64,1,24,1,6
52-Finance and Insurance (NAICS 52 subtotal),112,94,72,19,3,0,0,0,0,0,13,7,0,6,1,3
53-Real Estate and Rental and Leasing (NAICS 53 subtotal),290,239,162,57,14,0,0,0,0,0,51,45,0,6,0,0
"Professional, Scientific, and Technical Services (NAICS 54)",217,170,135,29,4,1,0,0,1,0,44,34,4,6,1,1
Management of Companies and Enterprises (NAICS 55),34,26,19,6,0,0,0,0,0,0,8,8,0,0,1,0
