row_label,Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent,CA — Number of situations,CA — Percent by size class,CB — Number,CB — Percent by size class,CC — Number,CC — Percent by size class,CD — Number,CD — Percent by size class,CE — Number,CE — Percent by size class,CP — Number,CP — Percent by size class,CA-CB combinations — Number,CA-CB combinations — Percent by size class,Other C combinations — Number,Other C combinations — Percent by size class
Total,14425,100.0,100.0,9569,100.0,2076,100.0,1068,100.0,,100.0,284,100.0,24,100.0,341,100.0,845,100.0,177
Under 10,3290,22.8,22.8,1979,20.5,539,26.0,374,34.9,,20.5,36,12.7,0,0.0,173,50.7,163,19.3,
10-19,1594,11.1,33.9,962,11.5,167,8.1,128,12.0,,,49,17.3,2,8.3,32,9.4,60,7.1,
20-29,1158,8.0,41.9,658,7.8,88,4.2,121,11.3,,,25,8.9,1,4.2,25,7.3,50,5.9,
100-109,217,1.5,65.5,152,1.6,14,0.7,19,1.8,,,4,1.4,0,0.0,4,1.2,12,1.4,
