Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In elections won — AFL-CIO unions,Employees eligible to vote / In elections won — Other national unions,Employees eligible to vote / In elections won — Other local unions,Employees eligible to vote / In units where no representative chosen,Employees eligible to vote / (filler)
"AFL-CIO (1-union, all-rep)",698,57.7,403,403,,,295,48226,28059,28059,,,20167
"Other national unions (1-union, all-rep)",87,63.2,55,,55,,32,7039,4213,,4213,,2826
"Other local unions (1-union, all-rep)",997,58.1,579,,,579,418,69695,41182,,,41182,27823
"1-union elections (sub-total, all-rep)",1782,58.2,1037,403,55,579,745,124270,73454,28059,4213,41182,50816
"Total representation elections (Grand Total Section A, all-rep)",1931,60.0,1159,439,644,76,772,140002,85247,31677,47811,5759,52565
"AFL-CIO (1-union, RC)",571,62.2,355,355,,,216,34355,18979,18979,,,15376
"Other local unions (1-union, RC)",77,67.5,52,,,52,25,6860,4150,,,4150,
