row_label,Circuit courts of appeals (headquarters),Total fiscal year 1996,Total fiscal years 1991-1995,Affirmed in full / Fiscal year 1996 Number,Affirmed in full / Fiscal year 1996 Percent,Affirmed in full / Cumulative fiscal years 1991-1995 Number,Affirmed in full / Cumulative fiscal years 1991-1995 Percent,Modified / Fiscal year 1996 Number,Modified / Fiscal year 1996 Percent,Modified / Cumulative fiscal years 1991-1995 Number,Modified / Cumulative fiscal years 1991-1995 Percent,Remanded in full / Fiscal year 1996 Number,Remanded in full / Fiscal year 1996 Percent,Remanded in full / Cumulative fiscal years 1991-1995 Number,Remanded in full / Cumulative fiscal years 1991-1995 Percent,Affirmed in part and remanded in part / Fiscal year 1996 Number,Affirmed in part and remanded in part / Fiscal year 1996 Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1991-1995 Number,Affirmed in part and remanded in part / Cumulative fiscal years 1991-1995 Percent,Set aside / Fiscal year 1996 Number,Set aside / Fiscal year 1996 Percent,Set aside / Cumulative fiscal years 1991-1995 Number,Set aside / Cumulative fiscal years 1991-1995 Percent
Total all circuits,147,780,97,66.0,556,71.3,19,12.9,63,8.1,6,4.1,48,6.2,7,4.8,26,3.3,18,12.2,87,11.2,
_individual_circuit_rows_placeholder,,,,,,,,,,,,,,,,,,,,,,,
