row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
R,I,HEE 40:74 -,IE ...7,"H ERE"" oi t z4. -",5 6,... -7 C4,EI a,EE ..4-,EnsEiE ga tz,"2 N g E ,:",""" 2. - 4",8 g 2
§,"E ,","tiE ,,..,,",A l ' a,g IEEE -z a -ra,* - a,LI to 2.5-,F.E CO,4 -,E g IEMi -w. •,m UE,"g a ,r",g tA 0- n
°,4 .-.,"4!.iE .-...,m",Pm m,E FEE.,:42,g,R°,PR,"',212r 4","°S8'4, ..",g .6. -,. g
'4,i,"4 , 1g","g c7-,","c1-3vg""",2,0 L0 Oa,MA,,00 .-,0%3° g 4-,,
E,2,g ER a p i,F,§ PH -7 6,g,E,N..,r,"ra .1 "" . "" a","2. "" =-"" E ..6-",°,R .i. m
n,.4,m E N gg -c6 .,.4 r,I' ElE5,E,,gE .4,iE,HUH a 01,.g4 IE -; E .- 00,4,"2 - 0,"
R,N,M. .6.6.0C,EE a,MHEARg a t: -74,ID,Ch,ER a,Ei 4,HEM 2 ..i .6,"1H . ,.. i '6",01 sr,"C. ,, , .6- F1"
F,i!. 6,HE 0-,ME,"E iREE 4 O am- .-,",E .6-,.-■ A 6 sr,EY Ci. .-,RE a,HUM4?.E awe 0,"a 03 C- ■10 .6. ,. 0,",CO ts,sr ss '-1 2 sr
i,i .6,Yea .6M-.4M -m,HE,E HEE,F.,,r.:.-r,M.,EiRgHEM 2 a4.6-a -,RAI C4 g 4 - -,2,g -;
Fl.,,2sq -.,g-,"84 0l0 4 OD ,-.",g,g,22,0- 2,"AR4""MR","°""2 m S N",,"S , 4"
o,m,"t-cr,",oo,"o..-,0",v,VI,",:ro","m,.","-. A mmwz,","OMON ■n ,",0,N
",",;1,",Ingl","N ,",NMNO0,",",g3,.-40,",-.0",04M0C4M,"00*010 t,z",0,8 m
m,m,0.48,mm,2°:4..,0A,,om,* 0,"vg,mg,","0001 , .-,",0,y .4
t-,4,gSE,2°,A A m2=,4,A,"c . 7 . ,?. ,",w..;,7..p2Im,"--€1 ,.","-,",€3 -_
,,".,m,",,4 A'2SM,,"-, 3",42,S m,0C E2'22,".-- -,, t;m E","""",
g,"5""",RN g,r,"R gg c,",§,,,,PREA -. .T .2!-- .,E,,2
