row_label,State / Federal Region,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
Region IX (San Francisco — DHHS) — subtotal,5513,4610,3112,1284,116,44,8,1,0,45,846,651,70,145,32,5,31
Region X (Seattle — DHHS) — subtotal,1537,1149,796,301,56,16,0,6,0,8,313,196,17,53,8,0,9
"Total, all States and areas — GRAND TOTAL FY1991 (Federal Administrative Regions)",38923,32271,23005,7921,731,236,148,19,11,211,6223,4902,260,1061,133,22,274
