row_label,col_1
"Personnel compensation .................................................$121,609,235",
"Personnel benefits...............................................................23,380,524",
"Benefits for former personnel....................................................23,000",
Travel and transportation of persons,"....................................2,488,920"
Transportation of things,"..........................................................165,542"
"Rent, communications, and utilities","...................................23,094,605"
"Printing and reproduction........................................................141,970",
Other services,".......................................................................9,149,595"
"Supplies and materials.............................................................800,707",
"Equipment.............................................................................3,412,378",
"Insurance claims and indemnities.........................................._149,905",
Total obligations and expenditures 25,"..............................$184,416,381"
