row_label,col_1,col_2
Total Board decisions,Total Board decisions,2606
Contested decisions,Contested decisions,1569
Unfair labor practice decisions,1028,
Initial (includes those based on stipulated record),934,
Supplemental Backpay,40,
Determinations in jurisdic- tional disputes,52,
Representation decisions,Representation decisions,
After transfer by regional directors for initial de- cision,29,
After review of regional director decisions,76,
On objections and/or chal- lenges,428,
Other decisions,Other decisions,8
Clarification of bargaining unit Amendment to certification,0,
,1,
Union-de authorization,Union-de authorization,
Noncontested decisions Unfair labor practice,568,1037
Representation,8,
Other,Other,
