Division and State,Total elections,Number of elections won by / Total,Number of elections won by / AFL-CIO,Number of elections won by / Other national unions,Number of elections in which no representative chosen / Other local unions,Total number of employees eligible to vote / Number of elections in which no representative chosen,Total valid votes cast / Total number of employees eligible to vote,Valid votes cast for unions / Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO,Total valid votes for no union / Other national unions,Other local unions,Total valid votes for no union
New England,169,76,61,7,8,93,13943,11113,5455,5121,199,135,4727
Middle Atlantic,729,397,346,14,37,332,38544,32575,17500,13564,1076,2860,14873
East North Central,840,330,229,16,85,503,47536,43043,14790,10890,1452,2448,24141
West North Central,344,,,,,,,,,,,,6155
