row_label,Participating unions,Total valid votes cast,Votes won Total,Votes won AFL-CIO,Votes won Teamsters,Votes won Other national,Votes won Other local,Votes won No union,Votes lost Total,Votes lost AFL-CIO,Votes lost Teamsters,Votes lost Other national,Votes lost Other local,Votes lost No union
Total RM elections,17754,6480,4495,706,158,990,2001,2628,2168,414,58,6623,,
1-union elections (subtotal),14359,3890,3379,331,130,50,1642,2477,2019,392,58,6350,,
1-union,,,,,,,,,,,,,,
2-union elections (subtotal),2224,1671,1029,375,28,239,127,151,179,22,,273,,
2-union,,,,,,,,,,,,,,
3 (or more)-union elections (RM),1171,919,218,,,701,,252,,,,,,
