Division and State,Total elections,Number of elections in which representation chosen — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representation chosen,Total valid votes cast,Valid votes cast in elections won — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible voters
South Atlantic — Florida,76,17,17,,,,59,879,,,,,,,
South Atlantic TOTAL,310,89,,,,,221,,,,,,,,
East South Central — Kentucky,68,33,,,,,35,,,,,,,,
East South Central TOTAL,192,75,,,,,117,,,,,,,,
West South Central — Texas,65,30,,,,,35,,,,,,,,
West South Central TOTAL,152,68,,,,,84,,,,,,,,
Mountain TOTAL,194,85,,,,,109,,,,,,,,
