Section,Total proceedings,"Injunction proceedings — Pending in district court Oct. 1, 1991",Injunction proceedings — Filed in district court FY1992,Subpoena proceedings — Filed in district court FY1992,Disposition of injunctions — Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept. 30, 1992"
Under Sec. 10(j) total,34,10,24,,29,19,4,0,0,8,0,0
Under Sec. 10(l) total,26,5,19,1,31,22,3,0,0,3,0,1
