row_label,Industrial Group (NAICS),All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
Crop Production,33,22,19,1,0,,0,0,0,11,10,0,1,0,0,0,
,78,,,,,,,,,,,,,,,,
Mining (sector sub-total — Oil and Gas Extraction + Mining except Oil-Gas + Support Activities),223,190,159,22,5,1,1,0,1,33,20,0,10,0,0,3,
Utilities (NAICS 22),574,458,365,90,1,2,,0,0,106,82,5,19,2,0,8,
Construction (NAICS 23 sector total),3661,3069,2640,195,268,113,,9,1,53,583,483,22,67,0,4,7
"Manufacturing — NAICS 31 sub-group (Food, Beverage-Tobacco, Textile, Apparel, Leather)",1359,1156,919,224,8,0,,4,0,1,195,156,1,38,0,0,8
