Item,Value
After transfer by Regional Directors for initial decision,5
After review of Regional Director decisions,47
On objections and/or challenges,170
Other decisions,3
Clarification of bargaining unit,2
Amendment to certification,0
Union-deauthorization,1
Noncontested decisions,362
Unfair labor practice,177
Representation,183
Other,2
