row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Iowa..........................................................,6,4,4,0,0,2,210,199,101,101,0,0,98,126
Kansas......................................................,6,3,3,0,0,3,2078,1643,936,936,0,0,707,1944
Minnesota..................................................,15,6,6,0,0,9,582,463,211,211,0,0,252,254
Missouri....................................................,9,0,0,0,0,9,452,400,177,169,8,0,223,0
Nebraska....................................................,3,1,1,0,0,2,328,306,181,181,0,0,125,180
North Dakota............................................,1,1,1,0,0,0,77,76,49,49,0,0,27,77
South Dakota............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West North Central..............................,40,15,15,0,0,25,3727,3087,1655,1647,8,0,1432,2581
Arkansas....................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana..................................................,2,0,0,0,0,2,32,27,9,9,0,0,18,0
Oklahoma..................................................,4,1,1,0,0,3,89,90,32,32,0,0,58,8
Texas........................................................,9,2,2,0,0,7,267,251,102,102,0,0,149,99
West South Central..............................,15,3,3,0,0,12,388,368,143,143,0,0,225,107
"Total, all States and areas....................",388,135,121,6,8,253,28078,22690,11800,10704,393,703,10890,14683
