Status,Total,Number of cases / Identification of petitioner / Employer,Number of cases / Identification of petitioner / Union,Number of cases / Identification of petitioner / Courts,Number of cases / Identification of petitioner / State boards
"Pending July 1, 1975",1,1,0,0,0
Received fiscal 1976,13,12,1,0,0
On docket fiscal 1976,14,13,1,0,0
Closed fiscal 1976,13,12,1,0,0
"Pending June 30, 1976",1,1,0,0,0
