Division and State,Number of elections,Election won by — A.F. of L. affiliates,Election won by — C.I.O. affiliates,Election won by — Unaffiliated unions,Election won by — No union,Eligible voters,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union
New England,325,127,81,47,90,52936,46374,16115,15759,5931,8769
Maine,39,13,1,13,12,4433,4028,924,856,1439,717
Massachusetts,192,79,30,17,45,25716,22049,9408,7308,2007,2276
Middle Atlantic,624,214,103,132,175,85393,84553,22531,28963,16974,17265
Middle Atlantic — New York,382,90,33,92,75,25016,22200,4729,5653,4485,6610
East North Central,684,216,132,139,197,98011,84553,22531,28963,16974,17265
West North Central,426,184,23,143,74,30419,26501,8326,3942,8016,6273
South Atlantic,287,94,72,16,105,42474,39001,9065,10378,4584,12734
