row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
16-C C-57____,"AFL-Teamsters, Local 577 (Ferguson-","Apr. 19,1955",10 (1),(2),,"Oct. 7, 1955",Settled.
19-CC-73,"Steere Motor Co) AFL-Teamsters, Local 148 (Harold Evans)","Apr 22,1955",10 (1),(2),,"Feb. 6, 1956","Dec 28, 1955. -"
21-CC-195_ _,"AFL-Roofers, Local 45 et al. (Roofing Contractors Association of San Diego County)","Apr. 25, 1955",10 (1),(2),,"Oct 6, 1955",Withdrawn.
9-CC-73,"AFL-Plumbers, Local 108 (Sears, Roe- buck Si Co) AFL-Hod Carriers, Local 560, and Sal-","May 6, 1955",10 (1),"(consent) May 10, 1955",,"Aug. 29, 1955","June 15, 1955. Settled in"
1-CC-116,"{ vatore Pavone and AFL-Teamsters, Local 379, and Nicholas Gargane, agent (Pascale Trucking Co)","May 17, 1955",10 (1),(2),,"Sept 30, 1955",{ part. Dismissed in part.
2-CC-333,"AFL-Teamsters, Local 680 (Crowley's","May 31,1955",10 (1),,"July 11, 1955",,
16-C C-65____,"Milk Co, Inc ) AFL-Teamsters, Local 886 (Galveston Truck Lines)","June 1, 1955",10 (1),(2),,"Dec. 16, 1955","July 29, 1955."
"2-0C-337, 338",CIO-Retail and Wholesale Employees District 65 (Cowan Publishing Corp. and Circulation Associates).,"June 17,1955",10 (1),(2),,"Dec 7, 1955","Nov 15, 1955"
"21-CC-198, 200.","AFL-Engineers, Operating, Local 12 (Crook Co and Shepherd Machinery Co)","June 17, 1955",10 (1),"July 25, 1955",,"Jan 27, 1956","Jan 9, 1956"
2-C C-340_,"CIO-Furniture Workers, Bedding, Cur- tam &Drapery Workers Union, Local 140 (Cenit Noll Sleep Products, Inc.).","July 1,1955",10 (1),(2),,"Mar. 13, 1956","Feb. 3, 1956."
8-CC-33_,"AFL-Teamsters, Locals 135, 407 (Na-","July 6,1955",10 (1),(2),,"Aug. 3, 1955",
9-CC-75,"tionalTerminals Corp.). AFL-Hod Carriei s, Local 661, and AFL- Carpenters, Local 2310 (Clark Con- struction Co ).","July 8,1955",10 (1),(2),,"Dec. 12,1955",Settled.
10-CC-109_ _,"AFL-Teamsters, Local 79 (Redwing","July 12, 1955",10 (1),"July 22, 1955",,"Sept. 26, 1955","Sept. 1, 1955."
4-C 0-59_,"Carriers, Inc , and Haulsmore, Inc ) AFL-Teamsters, Local 107 (Horn& Hardart Baking Co ).","July 13,1955",10 (1),"July 27,1955",,"June 27,1956","Apr. 30, 1956."
"2-CC-346, 347, 348","AFL-Machinists, Lodge 1903, and AFL- Teamsters and Local 553 (Flying Tigers Line, Inc ).","July 20, 1955",10 (1),"I. A. M. July 28, 1955 (international only)",,"Dec. 5, 1955",Withdrawn.
13-CC-108__,"AFL-Teamsters, Local 672 (Standard","July 27,1955",10 (1),"Aug. 15,1955",,"Mar. 13, 1956","Feb. 17, 1956."
"10-00-101- 108, 110- 117","Oil Co ). AFL-Atlanta Building &Construction Trades Council (Atlanta Steel Erec- tors, Inc ).","July 29,1955",10 (I),"Aug. 20, 1955",,"Oct. 31,1955",Withdrawn
"10-C 0-119,","AFL-Garment Workers, Ladies, Local 408 (Hoover Motor Express Co ).","Aug. 11,1955",10 (1),(2),,"Mar. 19,1956",Settled. •
120 9-CC-76____,"0I0-011 Chemical &Atomic Workers, Local 10-445 (Huntington Coca-Cola Bottling Co.).","Aug. 15, 1955",10 (1),(2),,"Apr. 10,1956",I. R.
