Section / ULP-charged-category,Total proceedings,"Injunction proceedings / Pending in district court July 1, 1972",Injunction proceedings / Filed in district court fiscal year 1973,Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / In-active,"Pending in district court June 30, 1973"
"Under sec. 10(e), total",2,1,1,0,1,0,0,0,0,0,2
"Under sec. 10(j), total",10,1,9,1,5,3,0,0,0,0,2
10(j),,,,,,,,,,,
"Under sec. 10(l), total",253,11,242,230,78,5,99,23,11,14,23
10(l),,,,,,,,,,,
