Section,Total Proceedings,"Injunction proceedings Pending in district court July 1, 1967",Filed in district court fiscal year 1968,Total dispositions,Disposition of injunctions Granted,Denied,Settled,Withdrawn,Dismissed,Inactive,"Pending in District court June 30, 1968"
"Under sec. 10(e), total",11,2,9,11,2,3,0,0,0,0,0
"Under sec. 10(j), total",20,5,15,15,7,2,0,3,2,0,5
Sec. 10(j) subsection,,,,,,,,,,,
"Under sec. 10(l), total",170,5,165,150,57,8,45,22,1,17,20
Sec. 10(l) subsection,,,,,,,,,,,
