Stage of disposition,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All cases — section header,,,,,,,
"Pending July 1, 1965 (All cases)",8911,4296,1084,331,278,1769,1153
Received fiscal 1966 (All cases),28993,12122,4043,1216,846,6317,3849
On docket fiscal 1966 (All cases),37904,16418,5727,1547,1124,8086,5002
Closed fiscal 1966 (All cases),28504,11974,4574,1240,772,6182,3822
"Pending June 30, 1966 (All cases)",9400,4444,1153,307,352,1904,1240
Unfair labor practice cases — section header,,,,,,,
"Pending July 1, 1965 (ULP cases)",6312,2913,555,198,121,1638,887
Received fiscal 1966 (ULP cases),15933,5301,1435,539,496,5530,2632
On docket fiscal 1966 (ULP cases),22245,8214,1990,737,617,7168,3519
Closed fiscal 1966 (ULP cases),15587,5322,1370,531,361,5406,2597
"Pending June 30, 1966 (ULP cases)",6658,2892,620,206,256,1762,922
Representation cases — section header,,,,,,,
"Pending July 1, 1965 (R cases)",2526,1353,526,132,156,100,255
Received fiscal 1966 (R cases),12620,6636,3193,667,329,646,1149
On docket fiscal 1966 (R cases),15146,7993,3719,799,485,746,1404
Closed fiscal 1966 (R cases),12487,6466,3187,640,395,639,1160
"Pending June 30, 1966 (R cases)",2659,1527,532,159,90,107,244
Union-shop deauthorization cases — section header,,,,,,,
"Pending July 1, 1965 (UD cases)",31,,,,,31,
Received fiscal 1966 (UD cases),137,,,,,137,
On docket fiscal 1966 (UD cases),168,,,,,168,
Closed fiscal 1966 (UD cases),133,,,,,133,
"Pending June 30, 1966 (UD cases)",35,,,,,35,
Amendment of certification cases — section header,,,,,,,
"Pending July 1, 1965 (AC cases)",17,13,1,,,,3
Received fiscal 1966 (AC cases),124,82,9,2,6,2,23
On docket fiscal 1966 (AC cases),141,95,10,2,6,2,26
Closed fiscal 1966 (AC cases),127,87,9,2,4,2,23
"Pending June 30, 1966 (AC cases)",14,8,1,,2,,3
Unit clarification cases — section header,,,,,,,
"Pending July 1, 1965 (UC cases)",25,13,2,1,1,,8
Received fiscal 1966 (UC cases),179,103,6,8,15,2,45
On docket fiscal 1966 (UC cases),204,116,8,9,16,2,53
Closed fiscal 1966 (UC cases),170,99,8,7,12,2,42
"Pending June 30, 1966 (UC cases)",34,17,,2,4,,11
