row_label,Number of cases / Total,Number of cases / Identification of complainant as petitioner / AFL-CIO affiliates,Number of cases / Identification of complainant as petitioner / Unaffiliated unions,Number of cases / Identification of complainant as petitioner / Individuals,Number of cases / Identification of complainant as petitioner / Employers
All cases 1,,,,,
"Pending July 1, 1958",6385,2093,752,2824,716
Received fiscal 1959,21633,7936,3806,7769,2122
On docket fiscal 1959,28018,10029,4558,10593,2838
Closed fiscal 1959,20355,7539,3363,7547,1906
"Pending June 30, 1959",7663,2490,1195,3046,932
Unfair labor practice cases,,,,,
"Pending July 1, 1958",4651,1080,330,2698,543
Received fiscal 1959,12239,2677,1111,7176,1275
On docket fiscal 1959,16890,3757,1441,9874,1818
Closed fiscal 1959,11465,2528,963,6936,1038
"Pending June 30, 1959",5425,1229,478,2938,780
Representation cases,,,,,
"Pending July 1, 1958",1723,1013,422,115,173
Received fiscal 1959,9347,5259,2694,547,847
On docket fiscal 1959,11070,6272,3116,662,1020
Closed fiscal 1959,8840,5011,2399,562,868
"Pending June 30, 1959",2230,1261,717,100,152
Union shop deauthorization cases,,,,,
"Pending July 1, 1958",11,0,0,0,11
Received fiscal 1959,47,0,1,46,0
On docket fiscal 1959,58,0,1,57,0
Closed fiscal 1959,50,0,1,49,0
"Pending June 30, 1959",8,0,0,8,0
