row_label,Circuit courts of appeals (headquarters),Total fiscal year 1976,Total fiscal years 1971-75,Affirmed in full / Fiscal year 1976 / Number,Affirmed in full / Fiscal year 1976 / Percent,Affirmed in full / Cumulative fiscal years 1971-75 / Number,Affirmed in full / Cumulative fiscal years 1971-75 / Percent,Modified / Fiscal year 1976 / Number,Modified / Fiscal year 1976 / Percent,Modified / Cumulative fiscal years 1971-75 / Number,Modified / Cumulative fiscal years 1971-75 / Percent,Remanded in full / Fiscal year 1976 / Number,Remanded in full / Fiscal year 1976 / Percent,Remanded in full / Cumulative fiscal years 1971-75 / Number,Remanded in full / Cumulative fiscal years 1971-75 / Percent,Affirmed in part and remanded in part / Fiscal year 1976 / Number,Affirmed in part and remanded in part / Fiscal year 1976 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1971-75 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1971-75 / Percent,Set aside / Fiscal year 1976 / Number,Set aside / Fiscal year 1976 / Percent,Set aside / Cumulative fiscal years 1971-75 / Number,Set aside / Cumulative fiscal years 1971-75 / Percent
Total all circuits,200,1621,148,75.0,1185,73.1,17,6.6,169,10.4,20,8.9,68,4.2,,3.2,,,1,20,5.0,179,11.0
"Detail rows (Boston Mass., New York N.Y., Philadelphia Pa., Richmond Va., New Orleans La., Cincinnati Ohio, Chicago Ill., St. Louis Mo., San Francisco Calif., Denver Colo., Washington D.C.)",,,,,,,,,,,,,,,,,,,,,,,
