row_label,col_1,col_2
8(b)(1)(2)..............................................................,490,8.0
8(b)(1)(3)..............................................................,80,1.3
8(b)(1)(5)..............................................................,5,0.1
8(b)(2)(3)..............................................................,2,0
8(b)(3)(5)..............................................................,1,0
8(b)(3)(6)..............................................................,2,0
8(b)(1)(2)(3)..........................................................,14,0.2
8(b)(1)(2)(6)..........................................................,3,0
8(b)(1)(3)(5)..........................................................,1,0
1,1,1
8(b)(1)..................................................................,5251,85.5
8(b)(2)..................................................................,549,8.9
8(b)(3)..................................................................,419,6.8
8(b)(4)..................................................................,479,7.8
8(b)(5)..................................................................,10,0.2
8(b)(6)..................................................................,9,0.1
8(b)(7)..................................................................,70,1.1
B1. Analysis of 8(b)(4),B1. Analysis of 8(b)(4),B1. Analysis of 8(b)(4)
Total cases 8(b)(4)................................................,451,100.0
8(b)(4)(A)..............................................................,31,6.9
8(b)(4)(B)..............................................................,280,62.1
8(b)(4)(C)..............................................................,8,1.8
8(b)(4)(D)..............................................................,109,24.2
8(b)(4)(A)(B)........................................................,14,3.1
8(b)(4)(A)(C)........................................................,1,0.2
8(b)(4)(B)(C)........................................................,3,0.7
8(b)(4)(A)(B)(C)..................................................,5,1.1
8(b)(4)(A)..............................................................,51,11.3
8(b)(4)(B)..............................................................,302,67.0
