row_label,Total valid votes cast,Valid votes cast in elections won / Total votes for unions,Valid votes cast in elections won / Votes for unions AFL-CIO,Valid votes cast in elections won / Votes for unions Other national,Valid votes cast in elections won / Votes for unions Other local,Valid votes cast in elections lost / Total votes for no union,Valid votes cast in elections lost / Total votes for unions (lost),Valid votes cast in elections lost / Votes for unions AFL-CIO,Valid votes cast in elections lost / Votes for unions Other national,Valid votes cast in elections lost / Votes for unions Other local
2-union elections,13195,8699,3671,219,2809,530,1542,1275,27,2422
Total RC elections,166873,41722,34396,1849,5477,16962,37379,34351,1185,70810
C. Elections in RM cases,,,,,,,,,,
Total RM elections,1808,552,500,38,14,233,282,278,0,741
D. Elections in RD cases,,,,,,,,,,
AFL-CIO (RD),18276,5443,5443,,,3232,3211,3211,,6784
