Method and stage of disposition,All C cases Number,All C cases Percent of total closed,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Withdrawal (total),12381,33.3,8260,32.6,3089,34.0,638,36.5,,,63,43.8,30,52.5,185,39.3
Dismissal (total),14125,38.0,9213,36.4,4409,48.6,322,19.1,,,37,25.6,13,22.7,127,27.0
10(k) actions (see table 7.A for details of disposition),355,1.0,,,,,,,355,96.7,,,,,,
